record_id,parent_record_id,source,source_sha256,source_lines,primitive,disposition,target_nodes,invariant,negative_invariant,test_nodes,validation_status
FABRIC-SQLITE,FABRIC-ASM-V1-STAGE,deep-research-report (9).md,c64fff816a40d4a3e66db307d57ee83631317778f9a333373274e06af59d8c74,1087,versioned transactional SQLite shadow metadata,implemented,internal/store/sqlite/store.go,Sealed receipt history and canonical artifact and resource rows are transactionally stored and reverified,SQLite cannot become Resource Hub authority or adopt an unrelated database,internal/store/sqlite/store_test.go#TestStageInspectAndIdempotence;internal/store/sqlite/store_test.go#TestStageRetainsHistoryAndMovesShadowHead;internal/store/sqlite/store_test.go#TestStageRejectsUnrecognizedExistingSQLiteDatabase,verified
FABRIC-SQLITE-BACKUP,FABRIC-SQLITE,deep-research-report (1).md,cc097db3aa58c5b6427f3cf93f00259d9fa94dcbe914367ae94b415d47b612a9,699,verified SQLite online backup,implemented,internal/store/sqlite/store.go#Store.Backup,Backup bytes are created through SQLite then inspected before no-replace publication,Backup cannot overwrite an existing destination or publish unverified state,internal/store/sqlite/store_test.go#TestBackupIsVerifiedAndNeverOverwrites,verified
FABRIC-SQLITE-CLI,FABRIC-SQLITE,deep-research-report (3).md,ebc944d58cde07a772507de4be3a713a153c7eea69fac80a4aafd297f79d78c4,615,operator-visible SQLite stage inspect verify and backup workflow,implemented,internal/cli/fabric.go#CLI.runHub,Stage is lease-bound while inspect and verify remain read-only and machine-readable,CLI cannot promote SQLite authority or backup without explicit confirmation,internal/cli/sqlite_test.go,verified
FABRIC-ADAPTER-CONTRACT,FABRIC-ROOT,deep-research-report (9).md,c64fff816a40d4a3e66db307d57ee83631317778f9a333373274e06af59d8c74,1087,versioned non-authoritative target adapter contract,implemented,internal/adapters/contract.go;internal/adapters/plan.go;internal/adapters/registry.go,Adapters deterministically normalize render plan and verify without performing I/O or granting authority,No adapter may write target state execute a client command approve a plan or bypass core ownership and rollback,internal/adapters/contract_test.go#TestPlanStateMachinePreservesForeignAndDivergedState;internal/adapters/contract_test.go#TestPlanRejectsMismatchedLossIdentityAndInvalidDigests;internal/adapters/contract_test.go#TestRenderedSetRejectsTraversalAndInvalidDigest;internal/adapters/contract_test.go#TestVerifyAcceptsAbsentNoopPostcondition;internal/adapters/contract_test.go#TestVerifyAcceptsEquivalentNoopWithoutRewritingDigest,verified
FABRIC-ADAPTER-CAPABILITY,FABRIC-ADAPTER-CONTRACT,deep-research-report (9).md,c64fff816a40d4a3e66db307d57ee83631317778f9a333373274e06af59d8c74,1087,structural digest-bound target capability negotiation,implemented,internal/adapters/capabilities.go;internal/adapters/registry.go,Target aliases artifact support fields deployment modes and MCP registration semantics are explicit versioned and sealed,Aliases cannot collide and unsupported behavior cannot be implied by an informal boolean,internal/adapters/contract_test.go#TestCapabilityAndLossDigestsAreDeterministic;internal/adapters/builtin/builtin_test.go#TestBuiltinsExposeVersionedCapabilitySnapshots;internal/cli/fabric_test.go#TestHubAdaptersCLIResolvesAliasesAndEmitsVerifiedCapabilities;internal/adapters/contract_test.go#TestInactiveMCPCapabilityRejectsRegistrationFields,verified
FABRIC-ADAPTER-LOSS,FABRIC-ADAPTER-CAPABILITY,deep-research-report (9).md,c64fff816a40d4a3e66db307d57ee83631317778f9a333373274e06af59d8c74,1087,machine-readable target fidelity and loss report,implemented,internal/adapters/loss.go,Transformation fallback omission and unsupported semantics are field-addressed sorted and digest-bound with derived fidelity,Representational loss cannot be hidden overridden by caller-supplied fidelity or altered after review,internal/adapters/contract_test.go#TestCapabilityAndLossDigestsAreDeterministic;internal/resourcehub/adapters_test.go#TestApplySyncRejectsTamperedPerOperationLossBinding;internal/mcplink/mcplink_test.go#TestApplyRejectsTamperedAdapterLossBinding;internal/adapters/builtin/builtin_test.go#TestPassthroughReportsPopulatedMetadataOmissions,verified
FABRIC-BUILTIN-ADAPTERS,FABRIC-ADAPTER-CONTRACT,deep-research-report (9).md,c64fff816a40d4a3e66db307d57ee83631317778f9a333373274e06af59d8c74,1087,reviewed in-process Codex Claude Cursor AGY OpenCode Copilot and generic adapters,implemented,internal/adapters/builtin/builtin.go,Existing target paths and registration modes are expressed through one target-native contract with confined projections,No donor runtime target writer package installer or unrestricted plugin loader is introduced,internal/adapters/builtin/builtin_test.go#TestBuiltinsExposeVersionedCapabilitySnapshots;internal/adapters/builtin/builtin_test.go#TestRenderProducesVisibleFidelityAndConfinedDestination;internal/adapters/builtin/builtin_test.go#TestFallbackIsMachineReadable;internal/adapters/conformance/conformance_test.go#TestEmbeddedCorpusPassesAllBuiltinAdapters,verified
FABRIC-RH-ADAPTER-PLAN,FABRIC-BUILTIN-ADAPTERS,deep-research-report (9).md,c64fff816a40d4a3e66db307d57ee83631317778f9a333373274e06af59d8c74,1087,Resource Hub adapter-bound reviewed sync planning with deny-loss,implemented,internal/resourcehub/adapters.go;internal/resourcehub/sync.go;internal/resourcehub/types.go,Every sync plan and operation binds current capability and fidelity evidence before existing Resource Hub mutation,Capability drift altered operation losses foreign state or deny-loss violations cannot reach apply,internal/resourcehub/adapters_test.go#TestPlanSyncBindsCapabilitiesAndEnforcesDenyLoss;internal/resourcehub/adapters_test.go#TestApplySyncRejectsTamperedPerOperationLossBinding;internal/resourcehub/adapters_test.go#TestApplySyncRejectsCapabilityDrift,verified
FABRIC-MCP-ADAPTER-PLAN,FABRIC-BUILTIN-ADAPTERS,deep-research-report (9).md,c64fff816a40d4a3e66db307d57ee83631317778f9a333373274e06af59d8c74,1087,MCP client adapter-bound reviewed registration planning,implemented,internal/mcplink/adapters.go;internal/mcplink/manager.go;internal/mcplink/types.go,Every selected client operation binds a sealed structural capability and fidelity report while mcplink retains mutation and rollback,An adapter cannot mutate client state and apply cannot accept snapshot drift tampered loss evidence or a foreign registration,internal/mcplink/mcplink_test.go#TestPlanBindsCapabilitySnapshotsAndLossReports;internal/mcplink/mcplink_test.go#TestApplyRejectsTamperedAdapterLossBinding;internal/mcplink/mcplink_test.go#TestPlanAndApplyLinksFileClientsPreservingForeignServers,verified
FABRIC-ADAPTER-CLI,FABRIC-ADAPTER-CAPABILITY,deep-research-report (9).md,c64fff816a40d4a3e66db307d57ee83631317778f9a333373274e06af59d8c74,1087,operator-visible capability inspection and loss policy,implemented,internal/app/fabric.go;internal/cli/fabric.go,Operators can inspect verified target capabilities and require loss-free Resource Hub plans without mutation,Inspection and deny-loss policy cannot authorize apply or bypass exact plan confirmation,internal/cli/fabric_test.go#TestHubAdaptersCLIResolvesAliasesAndEmitsVerifiedCapabilities,verified
FABRIC-ADAPTER-CONFORMANCE,FABRIC-BUILTIN-ADAPTERS,deep-research-report (9).md,c64fff816a40d4a3e66db307d57ee83631317778f9a333373274e06af59d8c74,1087,embedded target adapter conformance oracle and sealed differential report,implemented,internal/adapters/conformance/corpus.go;internal/adapters/conformance/run.go;internal/adapters/conformance/report.go;internal/adapters/conformance/testdata/corpus.json,Every reviewed built-in adapter alias MCP capability and declared artifact projection resolves to explicit deterministic evidence,A passing score cannot load external code grant authority hide loss accept path ambiguity or claim arbitrary target parsing,internal/adapters/conformance/conformance_test.go#TestEmbeddedCorpusCoversEveryBuiltinAdapter;internal/adapters/conformance/conformance_test.go#TestEmbeddedCorpusPassesAllBuiltinAdapters;internal/adapters/conformance/conformance_test.go#TestTargetFilterDeduplicatesAliases;internal/adapters/conformance/conformance_test.go#TestCorpusRejectsTraversalAndDifferentialDrift;internal/adapters/conformance/conformance_test.go#TestReportTamperingIsRejected,verified
FABRIC-ADAPTER-CONFORMANCE-CLI,FABRIC-ADAPTER-CONFORMANCE,deep-research-report (3).md,ebc944d58cde07a772507de4be3a713a153c7eea69fac80a4aafd297f79d78c4,615,operator-visible read-only adapter conformance execution,implemented,internal/app/fabric.go;internal/cli/fabric.go,Operators and CI receive the complete sealed report and aliases deduplicate to canonical targets,The conformance command cannot inspect live target state mutate files approve plans or suppress failed cases,internal/cli/fabric_test.go#TestHubAdapterConformanceCLIEmitsVerifiedReport,verified
FABRIC-EXTERNAL-PROTOCOL,FABRIC-ADAPTER-CONFORMANCE,deep-research-report (9).md,c64fff816a40d4a3e66db307d57ee83631317778f9a333373274e06af59d8c74,1087,versioned one-request external adapter process protocol,implemented,internal/adapters/external/protocol.go;internal/adapters/external/serve.go;internal/adapters/external/adapter.go,Every external operation negotiates exact protocol contract target request identity deadline and required operation before producing sealed adapter evidence,The protocol cannot register activate authorize or mutate through an external adapter and malformed or drifting identities fail closed,internal/adapters/external/external_test.go#TestOpenPinsExecutableNegotiatesAndMatchesReference;internal/adapters/external/external_test.go#TestProcessLimitsAndProtocolIdentityFailClosed,verified
FABRIC-EXTERNAL-ADMISSION,FABRIC-EXTERNAL-PROTOCOL,deep-research-report (1).md,cc097db3aa58c5b6427f3cf93f00259d9fa94dcbe914367ae94b415d47b612a9,699,digest-pinned bounded external executable admission and invocation,implemented,internal/adapters/external/admission.go;internal/adapters/external/process.go;internal/processctl/process.go;internal/processctl/process_unix.go;internal/processctl/process_linux.go;internal/processctl/process_other_unix.go;internal/processctl/process_windows.go,Exact regular-file bytes and arguments are staged into a private session; every fresh process is deadline/output bounded and can request fail-closed OS process ceilings through the shared managed-process controller,Symlinks digest mismatch source races inherited secrets shell execution unbounded output successful stderr unsupported hard-limit claims and uncontained bounded children cannot enter accepted evidence,internal/adapters/external/external_test.go#TestAdmissionRejectsDigestMismatchAndSymlink;internal/adapters/external/external_test.go#TestProcessLimitsAndProtocolIdentityFailClosed;internal/adapters/external/external_test.go#TestAdmittedExecutableIsPrivateAndEnvironmentIsSanitized,verified
FABRIC-EXTERNAL-INTERSECTION,FABRIC-EXTERNAL-PROTOCOL,deep-research-report (3).md,ebc944d58cde07a772507de4be3a713a153c7eea69fac80a4aafd297f79d78c4,615,reviewed capability ceiling and machine-readable intersection receipt,implemented,internal/adapters/external/intersection.go;internal/adapters/external/adapter.go,The effective external capability is never stronger than the reviewed built-in target and all restrictions or candidate limitations are sealed,External-only claims structural destination changes MCP registration changes or within-session capability drift cannot gain authority,internal/adapters/external/external_test.go#TestCapabilityIntersectionRemovesUnreviewedClaims;internal/adapters/external/external_test.go#TestCapabilityDriftWithinSessionIsRejected,verified
FABRIC-EXTERNAL-DIFFERENTIAL,FABRIC-EXTERNAL-INTERSECTION,deep-research-report (9).md,c64fff816a40d4a3e66db307d57ee83631317778f9a333373274e06af59d8c74,1087,reference-versus-external Phase 5 corpus differential report,implemented,internal/adapters/external/report.go;internal/adapters/external/adapter.go,Reference and candidate execute the same embedded corpus and every case status and evidence digest is compared inside a sealed derived report,A score cannot hide case omission path escape plan divergence postcondition divergence capability restriction or report tampering,internal/adapters/external/external_test.go#TestRunConformanceMatchesPhase5Corpus;internal/adapters/external/external_test.go#TestExternalRenderEscapeAndPlanDivergenceAreRejected;internal/adapters/external/external_test.go#TestConformanceReportTamperingIsRejected,verified
FABRIC-EXTERNAL-CLI,FABRIC-EXTERNAL-DIFFERENTIAL,deep-research-report (3).md,ebc944d58cde07a772507de4be3a713a153c7eea69fac80a4aafd297f79d78c4,615,operator-visible pinned external adapter differential conformance,implemented,internal/app/fabric.go;internal/cli/fabric.go,The CLI uses synthetic paths prints the complete sealed report and returns nonzero when candidate evidence fails,The command cannot expose real target state register an executable or turn a passing report into deployment approval,internal/cli/fabric_test.go#TestHubExternalAdapterConformanceCLIEmitsVerifiedReport,verified
