path,classification,authority_status,record_ids,notes
docs/convergence/FABRIC_PHASE2.md,documentation,design-and-claim-boundary,FABRIC-CAS;FABRIC-CAS-MARKS;FABRIC-ASM-V1-STAGE;FABRIC-CAS-CLI,Durable implementation record and non-goals.
docs/convergence/FABRIC_ADOPTION.csv,governance,evidence-ledger,FABRIC-CAS;FABRIC-CAS-MARKS;FABRIC-ASM-V1-STAGE;FABRIC-CAS-CLI;FABRIC-ADAPTER-CONFORMANCE;FABRIC-ADAPTER-CONFORMANCE-CLI;FABRIC-EXTERNAL-PROTOCOL;FABRIC-EXTERNAL-ADMISSION;FABRIC-EXTERNAL-INTERSECTION;FABRIC-EXTERNAL-DIFFERENTIAL;FABRIC-EXTERNAL-CLI,Maps report evidence to target nodes invariants and tests. Adds Phase 5 corpus and operator evidence records. Adds Phase 6 protocol admission intersection differential and CLI decisions.
docs/convergence/TEST_TRACEABILITY.csv,governance,test-traceability,FABRIC-CAS;FABRIC-CAS-MARKS;FABRIC-ASM-V1-STAGE;FABRIC-CAS-CLI;FABRIC-ADAPTER-CONFORMANCE;FABRIC-ADAPTER-CONFORMANCE-CLI;FABRIC-EXTERNAL-PROTOCOL;FABRIC-EXTERNAL-ADMISSION;FABRIC-EXTERNAL-INTERSECTION;FABRIC-EXTERNAL-DIFFERENTIAL;FABRIC-EXTERNAL-CLI,Bidirectional record-to-test links. Links every Phase 5 discriminating test to its record. Links every Phase 6 discriminating test to its adoption record.
internal/convergence/traceability_test.go,test,governance-verification,FABRIC-ROOT;FABRIC-CANONICAL;FABRIC-CAS,Validates both evidence ledgers and the Fabric target-surface matrix.
docs/CLI_REFERENCE.md,documentation,operator-contract,FABRIC-CAS-CLI;FABRIC-ADAPTER-CLI;FABRIC-RH-ADAPTER-PLAN;FABRIC-MCP-ADAPTER-PLAN;FABRIC-ADAPTER-CONFORMANCE-CLI;FABRIC-EXTERNAL-CLI;FABRIC-EXTERNAL-PROTOCOL,Documents stage verify restore and no-destructive-cleanup behavior. Documents capability inspection fidelity evidence and deny-loss. Documents report schema scope and non-mutating failure behavior. Documents command flags report meaning and incomplete sandbox boundary.
docs/architecture.md,documentation,architecture-boundary,FABRIC-CAS;FABRIC-ASM-V1-STAGE;FABRIC-ADAPTER-CONTRACT;FABRIC-RH-ADAPTER-PLAN;FABRIC-MCP-ADAPTER-PLAN;FABRIC-ADAPTER-CONFORMANCE;FABRIC-EXTERNAL-PROTOCOL;FABRIC-EXTERNAL-ADMISSION;FABRIC-EXTERNAL-INTERSECTION,Documents immutable shadow storage and retained Resource Hub authority. Documents the pure adapter plane and retained core mutation authorities. Documents the corpus as evidence-only. Defines process evidence plane authority and sandbox limitations.
docs/convergence/RUNBOOK.md,documentation,operator-runbook,FABRIC-CAS-CLI;FABRIC-ADAPTER-CLI;FABRIC-RH-ADAPTER-PLAN;FABRIC-MCP-ADAPTER-PLAN;FABRIC-EXTERNAL-CLI;FABRIC-EXTERNAL-ADMISSION,Provides the executable CAS staging and restore procedure. Provides capability inspection and loss-policy workflows. Provides safe digest-pinned execution and evidence-review procedure.
docs/convergence/TRUST_AND_STATE.md,documentation,trust-model,FABRIC-CAS;FABRIC-ASM-V1-STAGE;FABRIC-ADAPTER-CONTRACT;FABRIC-ADAPTER-LOSS;FABRIC-ADAPTER-CONFORMANCE;FABRIC-EXTERNAL-PROTOCOL;FABRIC-EXTERNAL-ADMISSION;FABRIC-EXTERNAL-INTERSECTION;FABRIC-EXTERNAL-DIFFERENTIAL,Records authority state and failure semantics. Records non-authority and plan revalidation state transitions. Records the sealed evidence state and non-authority boundary. Records admitted process and sealed report states while retaining core authority.
docs/convergence/VALIDATION.md,documentation,validation-record,FABRIC-CAS;FABRIC-CAS-MARKS;FABRIC-ASM-V1-STAGE;FABRIC-CAS-CLI;FABRIC-ADAPTER-CONTRACT;FABRIC-BUILTIN-ADAPTERS;FABRIC-RH-ADAPTER-PLAN;FABRIC-MCP-ADAPTER-PLAN;FABRIC-ADAPTER-CLI;FABRIC-ADAPTER-CONFORMANCE;FABRIC-ADAPTER-CONFORMANCE-CLI;FABRIC-EXTERNAL-PROTOCOL;FABRIC-EXTERNAL-ADMISSION;FABRIC-EXTERNAL-INTERSECTION;FABRIC-EXTERNAL-DIFFERENTIAL;FABRIC-EXTERNAL-CLI,Records Phase 2 claim evidence and final gate. Records Phase 4 claim evidence and limitations. Records the 64-case suite and explicit external-adapter exclusion. Records full normal differential coverage focused race evidence and incomplete OS sandbox limitations.
README.md,documentation,product-overview,FABRIC-CANONICAL;FABRIC-CAS-CLI;FABRIC-ADAPTER-CLI;FABRIC-ADAPTER-LOSS;FABRIC-ADAPTER-CONFORMANCE-CLI;FABRIC-EXTERNAL-CLI,Summarizes canonical graph inspection and the CAS shadow-stage preview. Summarizes versioned capabilities and visible fidelity policy. Surfaces the embedded conformance capability. Surfaces SHA-256-pinned external comparison without implying activation.
CHANGELOG.md,documentation,change-record,FABRIC-CANONICAL;FABRIC-CAS;FABRIC-ASM-V1-STAGE;FABRIC-CAS-CLI;FABRIC-ADAPTER-CONTRACT;FABRIC-ADAPTER-LOSS;FABRIC-BUILTIN-ADAPTERS;FABRIC-ADAPTER-CONFORMANCE;FABRIC-EXTERNAL-PROTOCOL;FABRIC-EXTERNAL-ADMISSION;FABRIC-EXTERNAL-INTERSECTION;FABRIC-EXTERNAL-DIFFERENTIAL;FABRIC-EXTERNAL-CLI,Records Phase 1 and Phase 2 unreleased changes. Records the unreleased Phase 4 capability. Records Phase 5 and adapter version 1.1.0. Records Phase 6 constrained external protocol and non-activation boundary.
SOURCE_MANIFEST.sha256,release-evidence,generated-source-integrity,FABRIC-ROOT;FABRIC-CAS;FABRIC-ADAPTER-CONFORMANCE;FABRIC-EXTERNAL-PROTOCOL;FABRIC-EXTERNAL-ADMISSION;FABRIC-EXTERNAL-INTERSECTION;FABRIC-EXTERNAL-DIFFERENTIAL;FABRIC-EXTERNAL-CLI,Regenerated after Phase 2 is frozen so the source archive has an exact verified file set. Regenerated after the Phase 5 source set is frozen. Will be regenerated after the Phase 6 source set is frozen.
internal/store/sqlite/store.go,implementation,new-non-authoritative-shadow-index,FABRIC-SQLITE;FABRIC-SQLITE-BACKUP,Owns schema migrations immutable projection history strict verification and online backup only.
internal/store/sqlite/path.go,implementation,filesystem-admission,FABRIC-SQLITE;FABRIC-SQLITE-BACKUP,Rejects symlinks foreign paths oversized databases and replacement publication.
internal/store/sqlite/native_cgo.go,implementation,native-storage-backend,FABRIC-SQLITE;FABRIC-SQLITE-BACKUP,Narrow SQLite C API boundary selected only for CGO builds.
internal/store/sqlite/native_stub.go,implementation,fail-closed-portability-boundary,FABRIC-SQLITE,CGO-disabled builds retain ASM and report metadata backend unavailable.
internal/store/sqlite/store_test.go,test,acceptance-evidence,FABRIC-SQLITE;FABRIC-SQLITE-BACKUP,Transaction integrity history tamper path and backup evidence.
internal/strictjson/decode.go,implementation,canonical-row-admission,FABRIC-STRICTJSON-MARSHAL,Typed SQLite rows use deterministic single-value canonical JSON.
internal/strictjson/decode_test.go,test,acceptance-evidence,FABRIC-STRICTJSON-MARSHAL,Canonical typed-map ordering evidence.
internal/cli/sqlite_test.go,test,acceptance-evidence,FABRIC-SQLITE-CLI,End-to-end CLI and stale-authority evidence.
docs/convergence/FABRIC_PHASE3.md,documentation,design-and-claim-boundary,FABRIC-SQLITE;FABRIC-SQLITE-BACKUP;FABRIC-SQLITE-CLI,Durable Phase 3 implementation record limitations and non-goals.
supply-chain/component-licenses.json,governance,external-component-license,FABRIC-SQLITE,Records SQLite public-domain status for the native backend dependency.
internal/adapters/contract.go,implementation,non-authoritative-versioned-contract,FABRIC-ADAPTER-CONTRACT,Defines pure discovery import render plan and verification contracts.
internal/adapters/capabilities.go,implementation,sealed-capability-evidence,FABRIC-ADAPTER-CAPABILITY;FABRIC-ADAPTER-CONFORMANCE,Validates and seals structural target capability snapshots. Inactive MCP capability fields now fail closed.
internal/adapters/loss.go,implementation,sealed-fidelity-evidence,FABRIC-ADAPTER-LOSS,Derives fidelity and seals field-addressed loss reports.
internal/adapters/plan.go,implementation,non-mutating-state-classifier,FABRIC-ADAPTER-CONTRACT;FABRIC-ADAPTER-CONFORMANCE,Classifies closed present and absent transitions without I/O. Verifies absent and semantic-equivalent no-op postconditions without phantom writes.
internal/adapters/registry.go,implementation,adapter-admission,FABRIC-ADAPTER-CONTRACT;FABRIC-ADAPTER-CAPABILITY,Rejects duplicate identities and alias collisions.
internal/adapters/contract_test.go,test,acceptance-evidence,FABRIC-ADAPTER-CONTRACT;FABRIC-ADAPTER-CAPABILITY;FABRIC-ADAPTER-LOSS;FABRIC-ADAPTER-CONFORMANCE,Covers deterministic sealing closed transitions tampering and traversal. Adds direct postcondition and inactive-MCP guard evidence.
internal/adapters/builtin/builtin.go,implementation,reviewed-in-process-codecs,FABRIC-BUILTIN-ADAPTERS;FABRIC-ADAPTER-CONFORMANCE,Hosts target mappings only and performs no target writes. Adapter version 1.1.0 emits omission-aware losses and structurally empty unsupported MCP capability.
internal/adapters/builtin/builtin_test.go,test,acceptance-evidence,FABRIC-BUILTIN-ADAPTERS;FABRIC-ADAPTER-CAPABILITY;FABRIC-ADAPTER-LOSS;FABRIC-ADAPTER-CONFORMANCE,Covers built-in capabilities confined rendering and visible fallback. Verifies populated metadata omissions.
internal/resourcehub/adapters.go,implementation,non-authoritative-projection-bridge,FABRIC-RH-ADAPTER-PLAN,Bridges canonical resources to adapter projections and verifies operation loss evidence.
internal/resourcehub/adapters_test.go,test,acceptance-evidence,FABRIC-RH-ADAPTER-PLAN;FABRIC-ADAPTER-LOSS;FABRIC-ADAPTER-CONFORMANCE,Covers deny-loss operation tampering and live capability drift. Capability drift fixture follows the live built-in version before inducing drift.
internal/resourcehub/sync.go,implementation,existing-resourcehub-mutation-authority,FABRIC-RH-ADAPTER-PLAN,Binds reviewed Resource Hub plans to adapter capability and loss evidence.
internal/resourcehub/types.go,contract,existing-resourcehub-plan-schema,FABRIC-RH-ADAPTER-PLAN,Persists adapter identity capability digest fidelity and losses in reviewed plans.
internal/mcplink/adapters.go,implementation,non-authoritative-registration-bridge,FABRIC-MCP-ADAPTER-PLAN,Verifies MCP capability snapshots per-operation losses and live drift.
internal/mcplink/manager.go,implementation,existing-mcp-mutation-authority,FABRIC-MCP-ADAPTER-PLAN,Uses adapter planning while retaining client inspection apply rollback and recovery.
internal/mcplink/types.go,contract,existing-reviewed-mcp-plan-schema,FABRIC-MCP-ADAPTER-PLAN,Persists adapter contract capability snapshots and loss reports.
internal/mcplink/mcplink_test.go,test,acceptance-evidence,FABRIC-MCP-ADAPTER-PLAN;FABRIC-ADAPTER-LOSS,Covers capability binding tampering conflict preservation and rollback.
internal/cli/fabric_test.go,test,operator-acceptance-evidence,FABRIC-ADAPTER-CLI;FABRIC-ADAPTER-CONFORMANCE-CLI;FABRIC-EXTERNAL-CLI,Verifies alias resolution and sealed capability output. Verifies the sealed operator report. Verifies end-to-end read-only external process conformance output.
docs/convergence/FABRIC_PHASE4.md,documentation,phase-decision-record,FABRIC-ADAPTER-CONTRACT;FABRIC-ADAPTER-CAPABILITY;FABRIC-ADAPTER-LOSS;FABRIC-BUILTIN-ADAPTERS;FABRIC-RH-ADAPTER-PLAN;FABRIC-MCP-ADAPTER-PLAN;FABRIC-ADAPTER-CLI;FABRIC-ADAPTER-CONFORMANCE;FABRIC-EXTERNAL-PROTOCOL,Records Phase 4 design authority boundaries validation and links its completed conformance successor. Links the implemented Phase 6 successor and remaining activation gate.
docs/CONVERGENCE.md,documentation,convergence-summary,FABRIC-ADAPTER-CONTRACT;FABRIC-BUILTIN-ADAPTERS;FABRIC-ADAPTER-CONFORMANCE;FABRIC-EXTERNAL-PROTOCOL;FABRIC-EXTERNAL-DIFFERENTIAL,Summarizes the cross-plane target adapter contract. Summarizes the conformance evidence layer. Summarizes constrained out-of-process evidence without activation.
DELIVERY_STATUS.md,documentation,release-boundary,FABRIC-ADAPTER-CONTRACT;FABRIC-ADAPTER-CONFORMANCE;FABRIC-EXTERNAL-PROTOCOL;FABRIC-EXTERNAL-ADMISSION;FABRIC-EXTERNAL-INTERSECTION;FABRIC-EXTERNAL-DIFFERENTIAL;FABRIC-EXTERNAL-CLI,States that adapters remain shadow-planning codecs and not release authority. Marks target conformance fixtures complete while external execution remains pending. States constrained conformance is implemented while true sandboxing and activation remain pending.
SOURCE_PROVENANCE.json,release-evidence,unreleased-source-identity,FABRIC-ROOT;FABRIC-ADAPTER-CONTRACT;FABRIC-ADAPTER-CONFORMANCE;FABRIC-EXTERNAL-PROTOCOL;FABRIC-EXTERNAL-ADMISSION;FABRIC-EXTERNAL-INTERSECTION;FABRIC-EXTERNAL-DIFFERENTIAL;FABRIC-EXTERNAL-CLI,Identifies the Phase 4 workspace without claiming immutable release provenance. Identifies the Phase 5 workspace without release claims. Identifies the Phase 6 workspace without immutable release claims.
internal/adapters/conformance/corpus.go,contract,strict-embedded-oracle,FABRIC-ADAPTER-CONFORMANCE,Defines and seals the versioned machine-readable target oracle.
internal/adapters/conformance/run.go,implementation,read-only-evidence-runner,FABRIC-ADAPTER-CONFORMANCE,Runs differential capability artifact plan and postcondition checks without I/O authority.
internal/adapters/conformance/report.go,contract,sealed-evidence-report,FABRIC-ADAPTER-CONFORMANCE,Derives counts and target status and binds all successful case evidence to a report digest.
internal/adapters/conformance/conformance_test.go,test,acceptance-evidence,FABRIC-ADAPTER-CONFORMANCE,Covers complete built-ins alias filters traversal drift and report tampering.
internal/adapters/conformance/testdata/corpus.json,fixture,reviewed-differential-oracle,FABRIC-ADAPTER-CONFORMANCE,Explicit expectations for seven targets forty-three artifact fixtures and MCP structure.
docs/convergence/FABRIC_PHASE5.md,documentation,phase-decision-record,FABRIC-ADAPTER-CONFORMANCE;FABRIC-ADAPTER-CONFORMANCE-CLI;FABRIC-EXTERNAL-DIFFERENTIAL,Records claim boundaries defects guardrails coverage authority and non-goals. Links the implemented Phase 6 differential host and remaining sandbox gate.
internal/adapters/external/protocol.go,implementation,non-authoritative-protocol,FABRIC-EXTERNAL-PROTOCOL,Defines strict versioned request response handshake descriptor and operation identities.
internal/adapters/external/serve.go,implementation,reference-protocol-server,FABRIC-EXTERNAL-PROTOCOL,Provides one-request strict protocol serving for separately compiled pure adapters.
internal/adapters/external/adapter.go,implementation,non-authoritative-candidate-codec,FABRIC-EXTERNAL-PROTOCOL;FABRIC-EXTERNAL-INTERSECTION;FABRIC-EXTERNAL-DIFFERENTIAL,Bridges bounded process calls to the pure adapter contract and rejects capability path plan and postcondition divergence.
internal/adapters/external/admission.go,implementation,constrained-executable-admission,FABRIC-EXTERNAL-ADMISSION,Pins regular executable bytes and exact arguments into a private session with hard ceilings.
internal/adapters/external/process.go,implementation,bounded-process-boundary,FABRIC-EXTERNAL-ADMISSION,Runs one request per fresh child with synthetic environment deadlines byte ceilings and fail-closed diagnostics.
internal/processctl/process.go,implementation,shared-managed-process-boundary,FABRIC-EXTERNAL-ADMISSION,Routes external adapters and managed children through one validated platform process controller with bounded wait and termination.
internal/processctl/process_linux.go,implementation,linux-cgroup-v2-containment,FABRIC-EXTERNAL-ADMISSION,Atomically places bounded children into delegated cgroup v2 scopes with memory CPU and process ceilings.
internal/adapters/external/intersection.go,implementation,reviewed-capability-ceiling,FABRIC-EXTERNAL-INTERSECTION,Intersects raw candidate claims with the built-in ceiling and seals all restrictions and limitations.
internal/adapters/external/report.go,implementation,differential-evidence,FABRIC-EXTERNAL-DIFFERENTIAL,Runs reference and candidate corpus reports and seals exact per-case mismatches and derived summary.
internal/adapters/external/external_test.go,test,acceptance-and-negative-evidence,FABRIC-EXTERNAL-PROTOCOL;FABRIC-EXTERNAL-ADMISSION;FABRIC-EXTERNAL-INTERSECTION;FABRIC-EXTERNAL-DIFFERENTIAL;FABRIC-EXTERNAL-CLI,Covers admission isolation protocol bounds capability restriction differential divergence drift tampering and cleanup.
internal/adapters/external/race_disabled_test.go,test-support,race-build-selection,FABRIC-EXTERNAL-ADMISSION;FABRIC-EXTERNAL-DIFFERENTIAL,Identifies normal builds so the complete subprocess corpus runs.
internal/adapters/external/race_enabled_test.go,test-support,race-build-selection,FABRIC-EXTERNAL-ADMISSION;FABRIC-EXTERNAL-DIFFERENTIAL,Identifies race builds so expensive nested race subprocess corpus cases defer to normal execution while host paths remain race-tested.
internal/cli/race_disabled_test.go,test-support,race-build-selection,FABRIC-EXTERNAL-CLI,Keeps the full external CLI subprocess test in normal builds.
internal/cli/race_enabled_test.go,test-support,race-build-selection,FABRIC-EXTERNAL-CLI,Avoids prohibitively expensive nested race subprocess startup while preserving focused host race coverage.
docs/convergence/FABRIC_PHASE6.md,documentation,phase-design-and-boundary,FABRIC-EXTERNAL-PROTOCOL;FABRIC-EXTERNAL-ADMISSION;FABRIC-EXTERNAL-INTERSECTION;FABRIC-EXTERNAL-DIFFERENTIAL;FABRIC-EXTERNAL-CLI,Records Phase 6 design evidence invariants validation authority boundaries and explicit sandbox limitations.
docs/convergence/EXTERNAL_ADAPTER_PROTOCOL.md,documentation,wire-protocol-reference,FABRIC-EXTERNAL-PROTOCOL;FABRIC-EXTERNAL-ADMISSION;FABRIC-EXTERNAL-INTERSECTION,Documents strict envelopes operations capability ceiling environment limits and non-activation rule.
docs/convergence/FABRIC_SURFACES.csv,,,FABRIC-EXTERNAL-PROTOCOL;FABRIC-EXTERNAL-ADMISSION;FABRIC-EXTERNAL-INTERSECTION;FABRIC-EXTERNAL-DIFFERENTIAL;FABRIC-EXTERNAL-CLI,Accounts for every Phase 6 implementation test documentation and evidence surface.
internal/processctl/process_unix.go,implementation,unix-process-tree-termination,FABRIC-EXTERNAL-ADMISSION,Preserves identity-safe Unix process-group cleanup and cgroup kill fallback for bounded child trees.
internal/processctl/process_windows.go,implementation,windows-job-object-containment,FABRIC-EXTERNAL-ADMISSION,Starts bounded children suspended and assigns Windows Job Object limits before execution resumes.
internal/processctl/process_other_unix.go,implementation,unsupported-platform-fail-closed,FABRIC-EXTERNAL-ADMISSION,Rejects requested hard process ceilings on unsupported Unix platforms instead of claiming containment.
internal/processctl/limits_linux_test.go,test,linux-cgroup-limit-evidence,FABRIC-EXTERNAL-ADMISSION,Verifies cgroup v2 memory CPU and process limit files and fail-closed admission when v2 is unavailable.
