record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status
CS-LAYERS,CS-ROOT,MEMORY,context-sync,memory,user/project/workspace/session context layers,module,executable behavior,standalone,src/context-layers.ts,80f65dd600778a377a62b4f80c1395027dbd42bc4e62c3010c0c9cd75254d84d,n/a,adaptation,many-to-one,adapted,Context layers map directly to ASM local memory with deterministic precedence and bounded retention.,layered local memory,internal/workspace/types.go#MemoryLayer;internal/workspace/memory.go#Manager.Recall,Scoped layers require explicit keys and scope ownership.,Cross-workspace and expired-session memory must not leak.,internal/workspace/workspace_test.go#TestMemoryPrecedenceSearchExpiryAndForget,agentstack memory,additive,User authorized unrestricted convergence; provenance retained.,high,CS-ROOT,high,verified
CS-REMEMBER,CS-ROOT,MEMORY,context-sync,memory,remember recall and search operations,module,executable behavior,standalone,src/remember-engine.ts,a323e0d6780634e7271446ffdbfb72f54fe5f3454d1f6a86e9ea6ba97dae1a9a,n/a,port,many-to-one,adapted,Core memory operations were ported to Go and integrated with workspace identity.,layered local memory,internal/workspace/memory.go#Manager.Remember;internal/workspace/memory.go#Manager.SearchMemory,"Entries are bounded, digest checked, sortable, and explicitly forgettable.",Memory cannot grow without bounds or silently accept tampering.,internal/cli/fabric_test.go#TestUnifiedWorkspaceMemoryArtifactAndRoutineCLI,agentstack memory,additive,User authorized unrestricted convergence; provenance retained.,high,CS-LAYERS,high,verified
CS-FILES,CS-ROOT,PROJECT-KNOWLEDGE,context-sync,project retrieval,safe project file read and content search,module,executable behavior,standalone,src/read-file-engine.ts,577a60117a0ce4fa6bc1a3af02aaebf47e3ffd90d594da4568d0a331eb8a85b4,n/a,hardening,one-to-one,hardened,"File retrieval was hardened with canonical roots, symlink confinement, byte caps, UTF-8 safe snippets, and search caps.",project knowledge retrieval,internal/contextengine/knowledge.go#Manager.ReadFile;internal/contextengine/knowledge.go#Manager.Search,Every path remains within a canonical project root and every read/search is bounded.,"Traversal, symlink escape, invalid UTF-8 truncation, and unbounded scans are forbidden.",internal/contextengine/knowledge_test.go#TestReadFileAndSearchStayInsideWorkspace,agentstack context read/search,additive,User authorized unrestricted convergence; provenance retained.,critical,CS-ROOT,high,verified
CS-GIT,CS-ROOT,PROJECT-KNOWLEDGE,context-sync,project retrieval,Git branch revision status and diff context,module,executable behavior,standalone,src/git-context-engine.ts,b42dba4e713e480804620a16cfe6339504f59ec11e51e3d28baf62a6c23cf497,n/a,adaptation,one-to-one,adapted,Git context is collected through ASM supervised execution with output and time limits.,project Git context,internal/contextengine/knowledge.go#Manager.Git,"Git is read-only, bounded, and non-repository roots return a stable result.","Git hooks, index, or working tree cannot be mutated by inspection.",internal/contextengine/knowledge_test.go#TestGitContextUsesBoundedRunner,agentstack context git,additive,User authorized unrestricted convergence; provenance retained.,medium,CS-FILES,high,verified
CS-MIGRATE,CS-ROOT,STATE-SCHEMA,context-sync,persistence,schema migration and compatibility,module,executable behavior,standalone,src/schema-migration.ts,5b81b72b29b65c8f52ca5c85ac704cc2a4a664b4e920d6e46967022495cc494b,n/a,adaptation,many-to-one,adapted,Migration semantics became versioned envelopes with legacy readers and fail-closed future versions.,versioned local fabric persistence,internal/workspace/store.go#loadCollection;internal/routines/manager.go#Manager.load,Legacy state remains readable and the next mutation upgrades it atomically.,Unknown future schemas are never decoded as current state.,internal/workspace/workspace_test.go#TestLegacyWorkspaceStoresMigrateToVersionedEnvelopes,agentstack workspace/memory/artifact/routine,additive,User authorized unrestricted convergence; provenance retained.,high,CS-ROOT,high,verified
CS-WORKSPACE,CS-ROOT,WORKSPACE,context-sync,workspace discovery,workspace root detection and project profiling,module,executable behavior,standalone,src/workspace-detector.ts,5db53d1315319b34ee8c9829e85cf75dbd308e4bbaceddaa1c5f642014fc24e9,n/a,recomposition,many-to-one,recomposed,"Detection, hierarchy, project root, prompt, memory, artifacts, and routines were fused into ASM workspaces.",workspace model,internal/workspace/types.go#Item;internal/workspace/store.go#Manager.Create,A workspace owns one canonical local root and folder cycles are impossible.,UI state and donor cache paths never become workspace authority.,internal/workspace/workspace_test.go#TestWorkspaceAssociationsPersistAndCyclesAreRejected,agentstack workspace,additive,User authorized unrestricted convergence; provenance retained.,high,CS-FILES,high,verified
CS-NOTION,CS-ROOT,EXTERNAL-CONNECTOR,context-sync,external integrations,built-in Notion credentialed integration,module,external integration,standalone,src/notion-integration.ts,dcec28b1d2b6d758e7c61aadd8d6085b7f07b4e36251a18c9bfe552f304eec87,n/a,substitution,negative-to-guardrail,rejected-with-reason,A product-specific credentialed connector would violate ASM credential minimization; bounded direct command routine steps provide an explicit adapter seam.,n/a,n/a,n/a,No provider token is stored in ASM fabric state and no remote connector runs implicitly.,internal/app/service_test.go#TestRoutineCommandInvokesDirectBinaryWithoutShell,agentstack routine command,additive,User authorized unrestricted convergence; provenance retained.,high,CS-ROOT,high,verified
SS-REGISTRY,SS-ROOT,RESOURCE-HUB,skillshare,resource library,canonical registry for skills agents extras and targets,module,executable behavior,standalone,internal/config/registry.go,216784984dd12a1c59794258eff747f2b533423dea89e934a5596f531a25157e,n/a,recomposition,many-to-one,recomposed,Skillshare registry concepts were generalized into one typed ASM resource registry.,canonical resource hub,internal/resourcehub/types.go#Registry;internal/resourcehub/manager.go#Manager.LoadRegistry,"One canonical copy owns resource identity, digest, source, scope, tags, and targets.",Target copies never become canonical state.,internal/resourcehub/resourcehub_test.go#TestRegistryPreservesResourceMetadata,agentstack hub,additive,User authorized unrestricted convergence; provenance retained.,critical,SS-ROOT,high,verified
SS-SYNC,SS-ROOT,RESOURCE-SYNC,skillshare,resource distribution,copy link target sync and managed pruning,module,executable behavior,standalone,internal/sync/sync.go,ef6b99539651a7258cc172a773ff8ce58dfedbe74cc7b8ff743ceb8de1dd7380,n/a,hardening,many-to-one,hardened,"Sync semantics were rebuilt around digest-bound reviewed plans, target ownership, foreign-file preservation, and atomic replacement.",reviewed resource synchronization,internal/resourcehub/sync.go#Manager.PlanSync;internal/resourcehub/sync.go#Manager.ApplySync,Only AgentStack-managed destinations may be pruned or updated automatically.,"Foreign content, changed destinations, and stale plans fail closed.",internal/resourcehub/resourcehub_test.go#TestPlanTreatsExternallyModifiedManagedTargetAsConflict,agentstack hub plan-sync/apply-sync,additive,User authorized unrestricted convergence; provenance retained.,critical,SS-REGISTRY,high,verified
SS-AUDIT,SS-ROOT,RESOURCE-AUDIT,skillshare,resource security,static skill and prompt security audit,module,executable behavior,standalone,internal/audit/audit.go,f45593991ab718374323137f475bd6f706c4b3db42946acbe1a71ff2bc10a969,n/a,adaptation,one-to-one,adapted,"High-signal prompt injection, credential, destructive, exfiltration, hidden-content, and Unicode checks were adapted into a bounded local audit.",resource admission audit,internal/resourcehub/audit.go#Manager.Audit,Risk is reported before sync and blocking findings require explicit allow-risk review.,Audit scores never grant authority and cannot be bypassed by silent sync.,internal/resourcehub/resourcehub_test.go#TestAuditBlocksPromptInjectionAndCredentialExfiltration,agentstack hub audit,additive,User authorized unrestricted convergence; provenance retained.,critical,SS-REGISTRY,high,verified
SS-BACKUP,SS-ROOT,RESOURCE-RECOVERY,skillshare,resource recovery,resource backup cleanup and restore,module,executable behavior,standalone,internal/backup/backup.go,7d21da77a1e61c4d6ccc4f42a63bf4b27df13a2e2a6c13af3ff3b776e07ac65c,n/a,hardening,one-to-one,hardened,Backups became immutable canonical snapshots retained for replacement/removal and restored only after digest verification and confirmation.,resource rollback,internal/resourcehub/manager.go#Manager.ListBackups;internal/resourcehub/manager.go#Manager.RestoreBackup,Backup content digest and resource metadata are verified before restoration.,Rollback cannot silently alter tracked source or overwrite without a recovery backup.,internal/resourcehub/resourcehub_test.go#TestResourceBackupCanBeListedAndRestored,agentstack hub backups/restore,additive,User authorized unrestricted convergence; provenance retained.,high,SS-REGISTRY,high,verified
SS-SOURCES,SS-ROOT,RESOURCE-SOURCE,skillshare,resource sources,tracked project and Git source update lifecycle,module,executable behavior,standalone,internal/install/source.go,39a71e83f124fdcafabe1955001c7147e136146b5be5c73c672e2da3e89fa69c,n/a,hardening,many-to-one,hardened,Remote acquisition is intentionally separated from ASM authority; reviewed local checkouts become tracked sources with drift-bound refresh plans.,source-aware resource lifecycle,internal/resourcehub/types.go#Resource;internal/resourcehub/refresh.go#Manager.ApplyRefresh,"Every refresh binds source path, source digest, canonical digest, registry digest, identity, and expiry.",Remote or changed content cannot be promoted directly into canonical resources.,internal/resourcehub/refresh_test.go#TestReviewedResourceRefreshDetectsAndAppliesSourceChanges,agentstack hub import/plan-refresh/apply-refresh,additive,User authorized unrestricted convergence; provenance retained.,critical,SS-REGISTRY,high,verified
SS-TARGETS,SS-ROOT,TARGET-PARITY,skillshare,agent interoperability,agent target path adapters,module,executable behavior,standalone,internal/config/targets.go,395714cac1409c187c5bbe7b90c63fad6ccde06892a6d7501829a95a743f71b7,n/a,adaptation,many-to-one,adapted,"Target adapters became a compact Go mapping for Codex, Claude, Cursor, OpenCode, Copilot, and generic roots.",multi-agent target parity,internal/resourcehub/sync.go#targetDestination,Each kind maps to an explicit target-native location.,No guessed target path or unsupported agent is accepted.,internal/resourcehub/resourcehub_test.go#TestTargetDestinationsCoverSupportedAgents,agentstack hub target-add,additive,User authorized unrestricted convergence; provenance retained.,high,SS-REGISTRY,high,verified
SS-UI,SS-ROOT,OPERATOR-UI,skillshare,operator experience,CLI TUI and web resource operation surfaces,module,operator workflow,standalone,internal/server/handler_sync.go,c79613c83e1fc60843a1dc32ea238af708cd74c04d17a9f2d9b79d09050add06,n/a,recomposition,many-to-one,superseded,ASM retains one CLI and authenticated loopback UI rather than embedding a parallel donor server/TUI.,unified operator fabric,internal/cli/fabric.go#CLI.runHub;internal/ui/server.go#Server.Run,All resource capabilities are reachable through JSON CLI and status is visible in the existing operator UI.,A second resource daemon or UI authority is forbidden.,internal/ui/web_contract_test.go#TestEmbeddedUIOperationAndRecoveryContract,agentstack hub; loopback UI,additive,User authorized unrestricted convergence; provenance retained.,medium,SS-SYNC,high,verified
SH-STORE,SH-ROOT,RESOURCE-HUB,skills-hub,resource library,managed skills store with tags scope and tools,module,executable behavior,standalone,src-tauri/src/core/skill_store.rs,68c70c852878e9ff94f8ae0f2ba4ecdf19fac569b3a1da823cad51847a8010f7,n/a,recomposition,many-to-one,recomposed,Desktop skill records were generalized into ASM typed resources and custom targets.,canonical resource hub,internal/resourcehub/types.go#Resource;internal/resourcehub/types.go#Target,"Metadata remains local, explicit, versioned, and target independent.",Desktop UI cache and online metadata never become canonical authority.,internal/resourcehub/resourcehub_test.go#TestManagedResourceStoreListsTypedResourcesDeterministically,agentstack hub,additive,User authorized unrestricted convergence; provenance retained.,high,SH-ROOT,high,verified
SH-SYNC,SH-ROOT,RESOURCE-SYNC,skills-hub,resource distribution,bulk sync engine and content hashes,module,executable behavior,standalone,src-tauri/src/core/sync_engine.rs,4219fbe6adddca0efa62419c5f19f45a586b33eb57f790625e127edeaf2b7897,n/a,hardening,many-to-one,hardened,"Bulk operations became reviewed action lists with digests, conflicts, copy/link fallback, pruning, and reports.",reviewed resource synchronization,internal/resourcehub/sync.go#Manager.ApplySync,Every bulk side effect is enumerated before apply.,No background bulk update or silent overwrite is permitted.,internal/resourcehub/resourcehub_test.go#TestImportPlanAndApplyCopyTarget,agentstack hub plan-sync/apply-sync,additive,User authorized unrestricted convergence; provenance retained.,critical,SH-STORE,high,verified
SH-SCHEDULE,SH-ROOT,ROUTINES,skills-hub,scheduled automation,scheduled skill update runs and result history,module,executable behavior,standalone,src-tauri/src/core/system_scheduler.rs,100d56211dc47f2e93145eace5099dfd9b309ee9be1ae4512333384d3cab7323,n/a,recomposition,many-to-one,recomposed,Scheduled updates became generic confirmed routines whose refresh step creates a reviewed plan rather than auto-promoting source changes.,scheduled routines,internal/routines/types.go#Routine;internal/app/fabric.go#Service.Execute,"Schedules are explicit, bounded, sequential, receipt-producing, and confirmation-gated.",A scheduled check cannot silently mutate canonical resources.,internal/routines/routines_test.go#TestDailyRoutineDueAndRun,agentstack routine; hub plan-refresh,additive,User authorized unrestricted convergence; provenance retained.,critical,SH-SYNC,high,verified
SH-TOOLS,SH-ROOT,TARGET-PARITY,skills-hub,agent interoperability,built-in and custom tool adapters,module,executable behavior,standalone,src-tauri/src/core/tool_adapters/mod.rs,71ee64151dadc4873afca4a7ae0630231ed5cda93873515807621ac3e26b7851,n/a,adaptation,many-to-one,adapted,Tool adapters were reduced to typed target roots and explicit target-kind mappings.,multi-agent target parity,internal/resourcehub/types.go#Target;internal/resourcehub/sync.go#targetDestination,Custom roots are allowed only through registered typed targets.,Target detection cannot grant write authority without a sync plan.,internal/cli/fabric_test.go#TestResourceHubContextAndMCPClientCLI,agentstack hub target-add,additive,User authorized unrestricted convergence; provenance retained.,high,SH-STORE,high,verified
SH-ONLINE,SH-ROOT,REMOTE-MARKET,skills-hub,remote discovery,featured skills and GitHub online search,module,remote marketplace,standalone,src-tauri/src/core/github_search.rs,5ad462cbc7baf9085ff1c54aa399259890830edeff986e332eef6bfc9032a071,n/a,guardrail derivation,negative-to-guardrail,rejected-with-reason,Unreviewed online discovery was kept outside the trusted write path; operators import a local reviewed checkout and retain provenance.,n/a,n/a,n/a,Remote search results cannot be installed or activated directly by ASM.,internal/resourcehub/resourcehub_test.go#TestImportDoesNotFetchRemoteSources,local checkout then agentstack hub import,additive,User authorized unrestricted convergence; provenance retained.,high,SH-STORE,high,verified
SH-UI,SH-ROOT,OPERATOR-UI,skills-hub,operator experience,desktop managed/explore/update/settings views,module,product/UX surface,standalone,src/App.tsx,9835849b5229b59218a9f14082065c48380ea9812f55d86ab61caa8f511b546e,n/a,recomposition,many-to-one,superseded,The donor desktop shell was not copied; ASM adds unified fabric status to its authenticated existing UI and full JSON CLI controls.,unified operator fabric,internal/ui/environments.go#BuildEnvironmentOverview;internal/ui/web/environments.js#render,"Environment, resource, connection, progress, transaction, and recovery state remain visible and responsive.",UI state never mutates fabric authority.,internal/ui/web_contract_test.go#TestEmbeddedUILifecycleWorkspaceContract,loopback UI and JSON CLI,additive,User authorized unrestricted convergence; provenance retained.,medium,SH-SYNC;SH-SCHEDULE,high,verified
ML-CLIENTS,ML-ROOT,MCP-LINK,mcp-linker,MCP configuration,multi-client MCP configuration adapters,module,executable behavior,standalone,src-tauri/src/client.rs,b116c980b9d66725eae74af09eb38133baaa54fbb589767aeec7b5dd76fe08d4,n/a,adaptation,many-to-one,adapted,"Client adapters were ported for Codex, Claude, Cursor, AGY/Gemini, and OpenCode.",MCP client linking,internal/mcplink/types.go#ClientKind;internal/mcplink/manager.go#Manager.Plan,Each client receives one AgentStack-owned router entry while unrelated entries remain untouched.,A foreign same-name entry is a hard conflict.,internal/mcplink/mcplink_test.go#TestPlanAndApplyLinksFileClientsPreservingForeignServers,agentstack mcp clients plan/apply,additive,User authorized unrestricted convergence; provenance retained.,critical,ML-ROOT,high,verified
ML-SYNC,ML-ROOT,MCP-LINK,mcp-linker,MCP configuration,cross-client MCP synchronization,module,executable behavior,standalone,src-tauri/src/mcp_sync.rs,48bc7c5f2d213e53bf986803e4123c8f6d4b59bd5db311986446b5c647406684,n/a,hardening,many-to-one,hardened,Direct synchronization became an expiring digest-bound link/unlink plan with before-state checks and backups.,MCP client linking,internal/mcplink/manager.go#Manager.Apply,"Plan identity, digest, client config state, and project root are revalidated immediately before apply.",MCP configs cannot change after review or lose foreign entries.,internal/mcplink/mcplink_test.go#TestPlanReportsForeignNamedConflict,agentstack mcp clients plan/apply,additive,User authorized unrestricted convergence; provenance retained.,critical,ML-CLIENTS,high,verified
ML-CRUD,ML-ROOT,RESOURCE-HUB,mcp-linker,MCP definitions,MCP server CRUD state,module,executable behavior,standalone,src-tauri/src/json_manager/server_crud.rs,8b22c918cde16988a3498f7afc49a00e22b66d4e5307acc562a569098152c2db,n/a,recomposition,many-to-many,recomposed,Server definitions became typed mcp-server resources while runtime authority remains the existing managed ASM router.,canonical MCP definition resources,internal/resourcehub/types.go#KindMCPServer;internal/resourcehub/sync.go#targetDestination,Definition files are content addressed and distributed like other reviewed resources.,UI CRUD state cannot directly start processes or bypass router policy.,internal/mcplink/mcplink_test.go#TestUnlinkRemovesOnlyAgentStackEntry,agentstack hub import --kind mcp-server,additive,User authorized unrestricted convergence; provenance retained.,high,ML-CLIENTS;SS-REGISTRY,high,verified
ML-CODEX,ML-ROOT,MCP-LINK,mcp-linker,MCP configuration,Codex TOML adapter,module,executable behavior,standalone,src-tauri/src/config/codex.rs,cc147e9f765dbe952b971c3510ce73b452f3562e5e928601b6aa7103ff538178,n/a,port,one-to-one,adapted,Codex registration reuses ASM reviewed mcp registration code rather than a second parser.,MCP client linking,internal/mcplink/manager.go#Manager.applyCodex,Codex changes are scoped to the AgentStack router entry.,No broad config rewrite or duplicate parser owns Codex state.,internal/mcplink/mcplink_test.go#TestCodexRegistrationUsesReviewedPlan,agentstack mcp clients,additive,User authorized unrestricted convergence; provenance retained.,high,ML-CLIENTS,high,verified
ML-SECRETS,ML-ROOT,SECRET-GUARD,mcp-linker,credential handling,encrypted saved MCP credentials,module,credential storage,standalone,src-tauri/src/encryption.rs,22b513e432847b39203935d04f489bc4abb890a0ca0975b42f332326467f5e6d,n/a,guardrail derivation,negative-to-guardrail,rejected-with-reason,ASM intentionally remains credential-minimizing and delegates provider secrets to provider or OS stores.,credential-minimizing MCP client plans,internal/mcplink/manager.go#Manager.Plan;internal/mcplink/manager.go#Manager.Apply,MCP plans persist only intent and digests; recovery records contain only the prior ASM registration.,"General fabric state contains no provider tokens, private keys, decrypted credential blobs, or unrelated client configuration.",internal/mcplink/mcplink_test.go#TestPlansAndBackupsDoNotPersistUnrelatedClientSecrets,provider login and OS credential store,additive,User authorized unrestricted convergence; provenance retained.,critical,ML-ROOT,high,verified
ML-UI,ML-ROOT,OPERATOR-UI,mcp-linker,operator experience,desktop MCP discovery and management UI,module,product/UX surface,standalone,src/App.tsx,19c2067fa6ad6c16060f869875b23113b16de2a09a69789525b9af2bc918019d,n/a,recomposition,many-to-one,superseded,ASM exposes client linking through its CLI and unified status UI instead of a parallel desktop authority.,unified operator fabric,internal/cli/fabric.go#CLI.runMCPLink;internal/ui/environments.go#BuildEnvironmentOverview,Managed connection status is operator-visible while mutation remains plan-driven.,No UI-only state can represent an applied MCP link.,internal/ui/server_test.go#TestFabricStatusEndpointReturnsUnifiedCounts,agentstack mcp clients; loopback UI,additive,User authorized unrestricted convergence; provenance retained.,medium,ML-SYNC,high,verified
AW-WORKSPACE,AW-ROOT,WORKSPACE,aiaw,workspace product,multiple hierarchical workspaces,module,executable behavior,standalone,src/stores/workspaces.ts,fce9586281af04c3f63742e92ab001121c5e915bdf7c7cfbd2c32c5c96b8b046,n/a,adaptation,one-to-one,adapted,AIaW workspace semantics became local folders/workspaces with resource and routine associations.,workspace model,internal/workspace/types.go#Item;internal/workspace/store.go#Manager.Create,Workspace roots are canonical local directories; folder relationships are acyclic.,Deleting one folder cannot leave untracked child workspace state.,internal/workspace/workspace_test.go#TestRecursiveFolderDeleteRemovesChildren,agentstack workspace,additive,User authorized unrestricted convergence; provenance retained.,high,AW-ROOT,high,verified
